STATE,FATAL,SERIOUS,MINOR,TOTAL CASES,NUMBER INJURED,NUMBER KILLED,TOTAL CASUALTY,PEOPLE INVOLVED,SPV,UPD,TBT,MDV,BFL,OVL,DOT,WOT,DGD,BRD,RTV,OBS,SOS,DAD,PWR,FTQ,SLV,OTHERS,QUARTER,YEAR,All Sky Surface Total PAR (MJ/m^2/day),All Sky Surface UV Index (W m-2 x 40),deg Cloud Amount (%),Surface Soil Wetness (1),Precipitation Corrected (mm/day),Surface Pressure (kPa),Specific Humidity at 2 Meters (g/kg),Temperature at 2 Meters (C),Dew/Frost Point at 2 Meters (C),Earth Skin Temperature (C),Wind Direction at 2 Meters (Degrees),Wind Speed at 10 Meters Range (m/s),Wind Speed at 2 Meters (m/s),CAUSE_SUM,CAUSE_RATE,lat,lon
ABIA,10,19,1,30,146,31,177,279,19,0,4,0,3,0,0,5,0,0,3,0,0,0,0,0,2,1,Q4,2020,7.88,1.7233333333333334,70.92999999999999,0.86,3.1966666666666668,100.01333333333332,17.97,25.82333333333333,23.26,25.76,255.96666666666667,2.013333333333333,1.1,207,6.9,5.4527,7.5248
ADAMAWA,14,63,0,77,234,36,270,443,57,0,3,2,0,1,0,17,1,0,3,10,0,0,0,0,0,0,Q4,2020,9.95,2.09,27.97,0.3899999999999999,0.7000000000000001,98.11333333333332,10.65,27.50666666666667,13.65,28.026666666666667,55.36666666666667,3.06,1.8766666666666667,347,4.5064935064935066,9.3265,12.3984
AKWA IBOM,6,13,3,22,28,7,35,89,15,0,0,0,2,0,0,1,4,0,1,0,0,0,0,1,0,0,Q4,2020,,,,,,,,,,,,,,57,2.590909090909091,5.0377,7.9128
ANAMBRA,14,41,17,72,152,20,172,526,43,0,3,0,9,0,0,4,0,0,6,1,0,1,0,0,6,10,Q4,2020,8.323333333333332,1.7933333333333332,59.6,0.86,3.776666666666667,99.88333333333333,17.76,25.956666666666667,23.043333333333333,25.91,282.56666666666666,2.123333333333333,1.2,244,3.388888888888889,6.21,7.07
BAUCHI,45,108,1,154,685,90,775,1182,74,0,11,3,0,5,2,21,7,2,4,3,0,0,0,0,8,0,Q4,2020,9.66,2.04,26.42,0.5466666666666667,0.6266666666666666,95.32,10.686666666666667,23.42,13.586666666666666,22.936666666666667,54.26666666666667,3.4066666666666663,1.9,929,6.032467532467533,10.3158,9.8442
BAYELSA,0,1,0,1,3,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Q4,2020,7.273333333333333,1.6033333333333335,73.40333333333332,0.9433333333333334,7.753333333333333,100.88666666666666,18.786666666666665,26.25,24.156666666666663,26.453333333333333,232.26666666666665,1.57,1.1033333333333333,4,4.0,4.7719000000000005,6.0699
BENUE,10,43,24,77,177,25,202,254,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Q4,2020,9.073333333333332,1.93,45.63,0.61,0.9566666666666668,99.46,15.11,26.87333333333333,20.116666666666664,27.186666666666667,113.53333333333336,2.8833333333333333,1.4466666666666663,279,3.623376623376624,7.1907,8.1297
BORNO,8,17,0,25,67,16,83,118,11,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Q4,2020,9.916666666666666,2.08,22.546666666666667,0.27,0.4433333333333333,97.51333333333332,8.516666666666666,25.52333333333333,10.06,26.25,38.06666666666667,2.973333333333333,2.37,108,4.32,11.8333,13.15
CROSS RIVER,9,19,5,33,65,11,76,164,23,0,1,2,1,1,0,2,3,1,0,4,0,0,0,0,0,1,Q4,2020,8.06,1.82,70.88333333333334,0.8233333333333333,1.6566666666666665,99.71666666666664,17.436666666666667,26.090000000000003,22.72,26.116666666666664,241.9333333333333,2.1666666666666665,1.1033333333333333,109,3.303030303030303,5.9631,8.7268
DELTA,25,36,6,67,182,36,218,407,70,0,10,0,4,0,0,8,1,0,1,0,0,0,0,0,17,0,Q4,2020,7.586666666666666,1.6366666666666667,64.95666666666666,0.93,7.506666666666667,100.96666666666664,18.886666666666667,26.18,24.25,26.223333333333333,236.03333333333333,0.8766666666666666,0.3133333333333333,285,4.253731343283582,5.532,5.8987
