STATE,lat,lon
ABIA,5.4527,7.5248
ADAMAWA,9.3265,12.3984
AKWA IBOM,5.0377,7.9128
ANAMBRA,6.21,7.07
BAUCHI,10.3158,9.8442
BAYELSA,4.7719000000000005,6.0699
BENUE,7.1907,8.1297
BORNO,11.8333,13.15
CROSS RIVER,5.9631,8.7268
DELTA,5.532,5.8987
EBONYI,6.2649,8.013
EDO,6.5244,5.8987
EKITI,7.6656,5.3103
ENUGU,6.5244,7.5086
FCT,8.8941,7.186
GOMBE,10.2892,11.167
IMO,5.572,7.0588
JIGAWA,12.228,9.561
KADUNA,10.3764,7.7097999999999995
KANO,11.999,8.522
KATSINA,12.9843,7.6223
KEBBI,12.4504,4.1999
KOGI,7.733,6.6906
KWARA,8.9669,4.3874
LAGOS,6.5244,3.3792
NASARAWA,8.54,7.7197
NIGER,9.0819,6.019
OGUN,6.998,3.4737
ONDO,7.2508,5.2103
OSUN,7.5629,4.52
OYO,7.85,3.933
PLATEAU,9.2182,9.517
RIVERS,4.8156,7.0498
SOKOTO,13.0059,5.2476
TARABA,8.8904,11.363
YOBE,12.0,11.5
ZAMFARA,12.1704,6.659
